escala,prevalencia,modelo,n_seeds,F1_mean,F1_lo95,F1_hi95,AUCPR_mean,AUCPR_lo95,AUCPR_hi95,Brier_mean,Brier_lo95,Brier_hi95,Accuracy_mean,Accuracy_lo95,Accuracy_hi95
10000,0.01,Adapt+Multi,3,0.4503935306717113,0.4371908930055715,0.46659727022104175,0.5857891691618647,0.5640893232825476,0.6017433466432655,0.14729172430064666,0.1447987461643989,0.14884001062694757,0.7935665501509205,0.7825287612423107,0.8073950748748219
10000,0.01,Adaptativo,3,0.45540549031268474,0.4468290646746839,0.466619380159991,0.5742788988290966,0.5680033994441407,0.5788542020437484,0.14711618403978266,0.1424166920687479,0.15155474286657608,0.7907234492941871,0.7739279076030877,0.8079691205563262
10000,0.01,Trad+Multi,3,0.551859664948693,0.5495164756925377,0.555565359460222,0.6925881084798852,0.6676458730056937,0.7074625638603512,0.1835298419677864,0.1766516533342203,0.18876973337767508,0.8150687774505876,0.8099368337731754,0.8218443392388824
10000,0.01,Tradicional,3,0.5460171339050164,0.5441631121323354,0.5487810550043327,0.6939385731648459,0.6679829223444761,0.7165941400509248,0.1833383833161449,0.17703931157175581,0.18879468599836546,0.8137996873305382,0.8087482495970395,0.8215607515264528
10000,0.05,Adapt+Multi,3,0.6923138363613335,0.6798689056625067,0.7030003120778542,0.8073609158361691,0.802127673344739,0.8103462490311144,0.13975511993467765,0.13510417020046656,0.14592485177617587,0.8133625354889927,0.7991137418721982,0.8274893767963526
10000,0.05,Adaptativo,3,0.6866108322574668,0.6762967563984863,0.7054847099563303,0.7988857675316163,0.786109644485706,0.8123871073865004,0.142746068712427,0.1350828287830958,0.146863420078939,0.8123703981948899,0.8005620287567506,0.830468039150008
10000,0.05,Trad+Multi,3,0.8037096391656586,0.7937800063280153,0.8130408525670911,0.8920352231175466,0.8802150500734248,0.9007928681181302,0.13737728145006353,0.1286743025107554,0.14616605429541382,0.8582940176663089,0.8495944644741704,0.8695108915855593
10000,0.05,Tradicional,3,0.8021634579994027,0.7918425355524779,0.8132266500919179,0.888740654818971,0.8720245055305912,0.9044615501494051,0.1367643395917996,0.128157863292241,0.14633310806700484,0.8569365107612357,0.8485552156446329,0.8691475116184953
50000,0.01,Adapt+Multi,3,0.4675857617785148,0.46473674172100815,0.4712109634497567,0.5848111291522017,0.5827167868634072,0.5860189506459167,0.1431517241620435,0.1419406376080771,0.14471517725965877,0.7993465849318694,0.7957789561877191,0.8028785405547505
50000,0.01,Adaptativo,3,0.47113015823959564,0.4687641230508403,0.47457404045801194,0.5739905136906785,0.5705470654136724,0.5775057120295037,0.14443847740749852,0.14196912404781314,0.14648691426149274,0.7973525618451333,0.7955776501982385,0.8002107552033616
50000,0.01,Trad+Multi,3,0.5520911863157879,0.5470293678520952,0.55793670919907,0.7085167974279148,0.7073528058951785,0.710023435896065,0.18177285560123124,0.1802656794587011,0.18286072982700433,0.8146945368878157,0.8121569928086715,0.8175251709832027
50000,0.01,Tradicional,3,0.5505207539393168,0.5462712738423707,0.5548041298250719,0.7049607496008873,0.7027679225075757,0.7080502524258185,0.18062473443767757,0.1777694523399791,0.18233581509529972,0.8142446178171726,0.811937110247437,0.8168899733954711
50000,0.05,Adapt+Multi,3,0.7058429515956618,0.6940482737574887,0.7134425810950984,0.8046727366381492,0.7977911198319995,0.8084117060245651,0.13860955667735017,0.13811127949878207,0.13917752194108857,0.8104806823487584,0.8047450777099443,0.8134711419006648
50000,0.05,Adaptativo,3,0.6905337505918515,0.6752362824801885,0.7086697611317492,0.7984021272081306,0.7831678329328114,0.8078048608638442,0.14184075820465963,0.13931650323610748,0.14547527958752915,0.8078988006127231,0.8041018163978615,0.812634279470999
50000,0.05,Trad+Multi,3,0.8010524085015325,0.7967047307180856,0.8039358776775392,0.896954626204813,0.8938244844285017,0.8999592459029088,0.13681719857781574,0.13398942015191329,0.13969280680541896,0.8556436163946758,0.8534440661216728,0.8585285130107726
50000,0.05,Tradicional,3,0.8034930077570724,0.7986532940452079,0.8081656167158419,0.8960569122081735,0.8915319585156123,0.899247023412545,0.1361288067314371,0.13352790458221417,0.1387785855752387,0.8566817615234577,0.8539786756319305,0.8606475862957107
100000,0.01,Adapt+Multi,3,0.48715830730687154,0.47864119507424147,0.49645309601864135,0.6006070901376267,0.5938102928533806,0.6122109239430842,0.1426538158253913,0.14179489746275706,0.1430908439401775,0.8012002211162196,0.8006067002524717,0.8022680672114304
100000,0.01,Adaptativo,3,0.48818859895773503,0.47087841455199686,0.503919062282692,0.5913930040510693,0.5868084225146527,0.595041854548343,0.1447013633642329,0.14376517337465564,0.1454794746769108,0.7963828529784606,0.7937533664941304,0.798821754805707
100000,0.01,Trad+Multi,3,0.5647957992486069,0.5607278961048167,0.5685603750707916,0.7105625726336271,0.708073443233328,0.7145368521411894,0.17998056492302952,0.17530562326438628,0.18617654525491456,0.8160152091894132,0.8136188432219216,0.8174588300457176
100000,0.01,Tradicional,3,0.5625507217649782,0.5561786602267311,0.5687447914792809,0.7034722390069018,0.6908555695895179,0.7132456990595445,0.1798020124669394,0.17489541548031487,0.1860296387189858,0.8155095225889258,0.8138613930581347,0.8164751013233299
100000,0.05,Adapt+Multi,3,0.7047985023939566,0.6944360580453536,0.7108385559226488,0.7962542705058374,0.7935480769299975,0.8006347117827225,0.14168423281846948,0.13559950018664113,0.1486755132552381,0.7972396876359471,0.7819961767236862,0.8066411156705562
